swab_id,gd,gdL,swab_type,state,site,date,species,temp,country
KL15WI0002,1,7.56E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYSE,NA,u.s.
KL15WI0003,1,0.478791,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0004,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0005,1,5.51E-06,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0006,1,3.56E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0007,1,3.16E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0008,1,1.94E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0009,1,0.000328026,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0010,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0011,1,0.001865415,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0012,1,1.36E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0013,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0014,1,2.21E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0015,1,0.1851452,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0016,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYSE,NA,u.s.
KL15WI0017,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYSE,NA,u.s.
KL15WI0018,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,PESU,NA,u.s.
KL15WI0019,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0020,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0021,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0022,1,0.000119813,BAT,WI,HORSESHOE BAY,2/27/15,MYSE,NA,u.s.
KL15WI0023,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0024,1,6.08E-05,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0025,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0026,0,NA,BAT,WI,HORSESHOE BAY,2/27/15,MYLU,NA,u.s.
KL15WI0118,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,-0.1,u.s.
KL15WI0119,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,0,u.s.
KL15WI0120,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.5,u.s.
KL15WI0121,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.7,u.s.
KL15WI0122,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.8,u.s.
KL15WI0123,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.9,u.s.
KL15WI0124,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5,u.s.
KL15WI0125,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.9,u.s.
KL15WI0126,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.7,u.s.
KL15WI0127,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.8,u.s.
KL15WI0128,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,3,u.s.
KL15WI0129,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.8,u.s.
KL15WI0130,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.5,u.s.
KL15WI0131,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.1,u.s.
KL15WI0132,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.6,u.s.
KL15WI0133,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,6,u.s.
KL15WI0134,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,5.8,u.s.
KL15WI0135,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,5.8,u.s.
KL15WI0136,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,5.6,u.s.
KL15WI0137,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,6.1,u.s.
KL15WI0138,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,5.8,u.s.
KL15WI0139,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,5.8,u.s.
KL15WI0140,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,6.3,u.s.
KL15WI0141,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.7,u.s.
KL15WI0142,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.5,u.s.
KL15WI0143,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.2,u.s.
KL15WI0144,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.9,u.s.
KL15WI0145,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.1,u.s.
KL15WI0146,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.4,u.s.
KL15WI0147,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.4,u.s.
KL15WI0148,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.5,u.s.
KL15WI0149,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.5,u.s.
KL15WI0150,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.3,u.s.
KL15WI0151,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.4,u.s.
KL15WI0152,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4,u.s.
KL15WI0153,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,4.9,u.s.
KL15WI0154,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYSE,4.8,u.s.
KL15WI0155,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.5,u.s.
KL15WI0156,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.2,u.s.
KL15WI0157,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.1,u.s.
KL15WI0158,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.1,u.s.
KL15WI0159,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.1,u.s.
KL15WI0160,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.9,u.s.
KL15WI0161,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5,u.s.
KL15WI0162,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,4.8,u.s.
KL15WI0163,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.6,u.s.
KL15WI0164,0,NA,BAT,WI,BEAR CREEK,3/4/15,PESU,5.2,u.s.
KL15WI0165,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.3,u.s.
KL15WI0166,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.3,u.s.
KL15WI0167,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.3,u.s.
KL15WI0168,0,NA,BAT,WI,BEAR CREEK,3/4/15,MYLU,5.3,u.s.
KL15WI0169,0,NA,BAT,WI,BEAR CREEK,3/4/15,EPFU,6,u.s.
KL15WI0411,0,NA,BAT,WI,ST. JOHN,3/11/15,EPFU,-0.6,u.s.
KL15WI0412,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,0.6,u.s.
KL15WI0413,0,NA,BAT,WI,ST. JOHN,3/11/15,EPFU,-0.7,u.s.
KL15WI0414,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,1,u.s.
KL15WI0415,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,1.6,u.s.
KL15WI0416,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,2.2,u.s.
KL15WI0417,1,1.05E-05,BAT,WI,ST. JOHN,3/11/15,MYLU,1.3,u.s.
KL15WI0418,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,1.9,u.s.
KL15WI0419,1,0.03861009,BAT,WI,ST. JOHN,3/11/15,MYLU,2.1,u.s.
KL15WI0420,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,2.7,u.s.
KL15WI0421,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,2.2,u.s.
KL15WI0422,1,3.01E-05,BAT,WI,ST. JOHN,3/11/15,MYLU,2.5,u.s.
KL15WI0423,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.2,u.s.
KL15WI0424,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.2,u.s.
KL15WI0425,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.6,u.s.
KL15WI0426,1,0.000101664,BAT,WI,ST. JOHN,3/11/15,MYLU,6.5,u.s.
KL15WI0427,1,2.48E-05,BAT,WI,ST. JOHN,3/11/15,MYLU,7.1,u.s.
KL15WI0428,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,7.1,u.s.
KL15WI0429,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.5,u.s.
KL15WI0430,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,7.4,u.s.
KL15WI0431,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.4,u.s.
KL15WI0432,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.7,u.s.
KL15WI0433,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.6,u.s.
KL15WI0434,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,7.6,u.s.
KL15WI0435,1,0.000139503,BAT,WI,ST. JOHN,3/11/15,MYLU,8.4,u.s.
KL15WI0436,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,8.4,u.s.
KL15WI0437,1,0.000158252,BAT,WI,ST. JOHN,3/11/15,MYLU,8.8,u.s.
KL15WI0438,1,0.000114631,BAT,WI,ST. JOHN,3/11/15,MYLU,8.4,u.s.
KL15WI0439,1,2.04E-05,BAT,WI,ST. JOHN,3/11/15,MYLU,8.9,u.s.
KL15WI0440,1,4.74E-05,BAT,WI,ST. JOHN,3/11/15,MYLU,9,u.s.
KL15WI0441,1,6.70E-06,BAT,WI,ST. JOHN,3/11/15,MYLU,9.1,u.s.
KL15WI0442,0,NA,BAT,WI,ST. JOHN,3/11/15,MYLU,8.7,u.s.
KL15WI0443,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,9.4,u.s.
KL15WI0444,0,NA,BAT,WI,ST. JOHN,3/11/15,PESU,9.5,u.s.
KL15WI0445,0,NA,BAT,WI,ST. JOHN,3/11/15,EPFU,2,u.s.
KL15WI0446,1,1.64E-05,BAT,WI,ST. JOHN,3/11/15,EPFU,1.5,u.s.
