Year,SppRichness,Temp,Urban,Precip,DDT
1938,3,11.26388889,0.190095,4.22,0
1939,2.7,11.31944444,0.193725,3.473333,0
1940,2.4,9.449074072,0.197355,3.803333,0.162058327
1941,1.333333333,11.09722222,0.2052324,3.174167,0.398046926
1942,2.75,11.26388889,0.2131098,4.269167,0.634035525
1943,2.4,10.56481482,0.2209872,3.246667,0.870024124
1944,1.6,10.90277778,0.2288646,4.005,0.951915742
1945,2.6,10.96759259,0.236742,3.745833,1.048361238
1946,1,11.09722222,0.2446194,3.293333,1.109459229
1947,1.2,11.42129629,0.2524968,3.585,1.170557221
1948,1.2,10.15277778,0.2603742,4.261667,1.248483134
1949,1,12.60648148,0.2682516,3.23,1.326409047
1950,0.8,10.90740741,0.276129,3.414167,1.412521516
1951,1,11.82870371,0.3151945,4.1175,1.601036059
1952,1,11.81944444,0.35426,4.126667,1.943730748
1953,1,12.51388889,0.3933255,4.2175,2.384339952
1954,0,12,0.432391,3.8975,2.48878781
1955,0.2,11.93981482,0.4714565,3.898333,2.593235667
1956,0,10.45370371,0.510522,3.7275,2.697683525
1957,0,11.84259259,0.5495875,3.2775,2.715616186
1958,0.2,10.92592593,0.588653,4.486667,2.733548846
1959,0,11.50925926,0.6277185,3.6225,2.751481507
1960,0.4,11.41666667,0.666784,4.1475,2.522999393
1961,0.2,11.15740741,0.7126006,3.943333,2.584611215
1962,0,10.94444444,0.7584172,3.705,2.646223036
1963,0.4,10.54629629,0.8042338,2.968333,2.420096465
1964,0,11.17592593,0.8500504,3.048333,2.193969894
1965,0,11.21296296,0.895867,2.333333,1.967843323
1966,0,11.23611111,0.9416836,3.170833,1.981977424
1967,0,10.78240741,0.9875002,3.935833,1.996111525
1968,0,11.15277778,1.0333168,3.441667,2.010245627
1969,0,11.30555556,1.0791334,3.924167,2.05166825
1970,0,11.17592593,1.12495,2.9225,2.02261152
1971,0.5,11.54629629,1.1408781,3.9225,1.99355479
1972,0.25,11.05555556,1.1568062,4.8625,2.070231152
1973,0,12.02777778,1.1727343,4.28,2.146907514
1974,0,11.56944444,1.1886624,3.5775,2.009933141
1975,0.083333333,11.92129629,1.2045905,4.793333,1.872958768
1976,0.166666667,11.78240741,1.2205186,3.463333,1.735984395
1977,0.25,10.77314815,1.2364467,4.463333,1.595079937
1978,0.6,10.43055556,1.2523748,3.965,1.454175479
1979,1.6,11.07407407,1.2683029,4.398333,1.364488834
1980,0.8,11.81481482,1.284231,3.378333,1.274802189
1981,1.166666667,11.04629629,1.2879943,3.240833,1.185115545
1982,0.833333333,10.76388889,1.2917576,3.425833,1.086277142
1983,1.166666667,12.21296296,1.2955209,5.530833,0.987438739
1984,0.833333333,11.23611111,1.2992842,4.66,0.95199742
1985,0.833333333,11.91203704,1.3030475,3.205833,0.896057654
1986,0.333333333,11.73148148,1.3068108,3.653333,0.849517817
1987,0.4,11.48611111,1.3105741,3.636667,0.853195121
1988,0.6,11.33333333,1.3143374,3.648333,0.856872425
1989,1.25,11.43981482,1.3181007,5.0775,0.86054973
1990,1.5,11.64351852,1.321864,4.549167,0.864227034
1991,1.75,12.86574074,1.3316145,3.621667,0.867904339
1992,1.5,11.07870371,1.341365,3.660833,0.831665815
1993,1.25,11.43981482,1.3511155,3.418333,0.795427291
1994,2,11.11111111,1.360866,3.6175,0.678990964
1995,1,12.41203704,1.3706165,3.1675,0.548086193
1996,2.75,10.76851852,1.380367,4.775833,0.417181421
1997,1.5,11.56944444,1.3901175,3.644167,0.28627665
1998,2,12.71296296,1.399868,3.844167,0.192215526
1999,1.5,12.82407407,1.4096185,3.7575,0.096107763
2000,1.75,11.83333333,1.419369,3.915833,0
2001,2.75,11.625,1.4267671,3.176667,0
2002,2,13.42592593,1.4341652,3.965,0.043661634
2003,1.75,11.02777778,1.4415633,4.575,0.079762677
2004,1.75,11.77314815,1.4489614,4.263333,0.040932782
2005,2.25,12.22685185,1.4563595,4.37,0
2006,3.5,12.59722222,1.4637576,4.375,0
2007,2,12.68981482,1.4711557,4.1625,0
2008,2.2,12.12037037,1.4785538,4.299167,0
2009,1.8,11.46759259,1.4859519,4.060833,0
2010,2.6,13.375,1.49335,3.7875,0
2011,2.4,12.33333333,1.49335,4.98,0
2012,2.6,13.60185185,1.49335,3.426667,0
